Z,E,f0,X2i,alpha
70.0,30.0,3.0,-12.20986333030445,0.2801095644676648
70.0,30.0,3.2,-29.531676773113237,0.6774936700876518
70.0,30.0,3.4,-16.91289061362738,0.38800290351442396
70.0,30.0,3.6,-11.025628824280503,0.2529417409846089
70.0,30.0,3.8,-6.158065783148234,0.14127374548080793
70.0,40.0,2.4,0.39820193794741426,-0.009135251426753609
70.0,40.0,2.6,14.236547463023928,-0.3266042380256058
70.0,40.0,2.8,-24.73017989486929,0.5673413151452622
70.0,40.0,3.0,-31.53664361383895,0.7234901217542231
70.0,40.0,3.2,-18.355734819061283,0.4211035575549723
70.0,40.0,3.4,-12.500163692308949,0.2867694185353235
70.0,40.0,3.6,-7.981932662305645,0.18311553710019396
70.0,40.0,3.8,-2.6982290812610774,0.061900756162451
70.0,50.0,2.4,13.193128724181655,-0.30266690469206214
70.0,50.0,2.6,28.427877924544372,-0.652171141377183
70.0,50.0,2.8,-33.810591592092386,0.7756573377647249
70.0,50.0,3.0,-19.738735295580998,0.4528313214665484
70.0,50.0,3.2,-13.851992932810406,0.31778207523326507
70.0,50.0,3.4,-9.621592265946237,0.22073138299677025
70.0,50.0,3.6,-5.212098513063975,0.11957207095294405
70.0,50.0,3.8,1.8593049979877232,-0.042654786471382
70.0,60.0,2.4,147.62566576860888,-3.386717756296376
70.0,60.0,2.6,-37.7391036380068,0.8657823267525928
70.0,60.0,2.8,-21.420969539190917,0.4914238829525267
70.0,60.0,3.0,-15.216441600678921,0.349084237407885
70.0,60.0,3.2,-11.081165486267599,0.25421582160126766
70.0,60.0,3.4,-7.227557649888541,0.1658092290394816
70.0,60.0,3.6,-2.072254780716603,0.04754012132567337
70.0,60.0,3.8,10.304295921007483,-0.23639346031135067
70.0,70.0,2.4,-45.92135881322804,1.0534935133148562
70.0,70.0,2.6,-23.825222275310473,0.5465804533879345
70.0,70.0,2.8,-16.798129723257233,0.38537014488724763
70.0,70.0,3.0,-12.515203474252754,0.2871144499788379
70.0,70.0,3.2,-8.909234389514745,0.20438900068548846
70.0,70.0,3.4,-4.7911628207701815,0.10991527871476511
70.0,70.0,3.6,2.5118188266033403,-0.05762427133768734
70.0,70.0,3.8,36.86961056927966,-0.8458350662304932
70.0,80.0,2.4,-27.61327846946504,0.6334832091370619
70.0,80.0,2.6,-18.826718946753743,0.4319085236148036
70.0,80.0,2.8,-14.093031214114305,0.32331179544139343
70.0,80.0,3.0,-10.478845562236314,0.24039784780201523
70.0,80.0,3.2,-6.854305127400392,0.15724634846643543
70.0,80.0,3.4,-1.7432751792818686,0.039992917038143345
70.0,80.0,3.6,12.261442311930937,-0.28129285093764694
70.0,80.0,3.8,-44.82330958889275,1.02830288818892
70.0,90.0,2.4,-21.649457156841795,0.49666567520974153
70.0,90.0,2.6,-15.98827383513915,0.36679103601718355
70.0,90.0,2.8,-12.11811659827361,0.27800477947087404
70.0,90.0,3.0,-8.650419649069455,0.1984514662297171
70.0,90.0,3.2,-4.532118436545165,0.10397247594292978
70.0,90.0,3.4,3.213262495151591,-0.07371626804398891
70.0,90.0,3.6,36.562776629741045,-0.8387959111766655
70.0,90.0,3.8,-21.651538789090235,0.49671343046192734
70.0,100.0,2.4,-18.433173082146666,0.4228800883448086
70.0,100.0,2.6,-13.98279661800911,0.3207828756763656
70.0,100.0,2.8,-10.419845236838832,0.23904430640655006
70.0,100.0,3.0,-6.730780771780751,0.15441254496530288
70.0,100.0,3.2,-1.3186372601946093,0.030251191078216333
70.0,100.0,3.4,15.743321816629082,-0.36117152977340483
70.0,100.0,3.6,-34.32231386109941,0.787396887833578
70.0,100.0,3.8,-13.960754623337163,0.320277204698687
70.0,110.0,2.4,-16.259061778446682,0.37300325074973584
