Z,E,f0,alpha
70.0,47.5,2.875,0.6944718605702532
70.0,47.5,2.9,0.6404335975012846
70.0,47.5,2.925,0.5951990424842425
70.0,47.5,2.95,0.5566192350988806
70.0,47.5,2.975,0.5232003666447079
70.0,47.5,3.0,0.49388589996062743
70.0,47.5,3.025,0.46790038270010353
70.0,47.5,3.05,0.4446047839441886
70.0,47.5,3.075,0.42343621586100133
70.0,47.5,3.1,0.4039644949167923
70.0,47.5,3.125,0.3858975557209794
70.0,47.5,3.15,0.3690201537087535
70.0,47.5,3.175,0.3531521284984768
70.0,47.5,3.2,0.338144744708401
70.0,47.5,3.225,0.3238576794864109
70.0,47.5,3.25,0.3101748090870897
70.0,47.5,3.275,0.2969921910496785
70.0,47.5,3.3,0.284217139273108
70.0,47.5,3.325,0.27176586162171157
70.0,47.5,3.35,0.2595613638556178
70.0,47.5,3.375,0.24753159884783782
70.0,47.5,3.4,0.2356078031813641
70.0,47.5,3.425,0.22372295735646908
70.0,47.5,3.45,0.21181030603894818
70.0,47.5,3.475,0.1998018748265531
70.0,47.5,3.5,0.1876269172841471
70.0,47.5,3.525,0.17521021898706854
70.0,47.5,3.55,0.1624701726308145
70.0,47.5,3.575,0.14931651809090749
70.0,47.5,3.6,0.13564761094525923
70.0,47.5,3.625,0.12134703826735688
70.0,47.5,3.65,0.10627933513087356
70.0,47.5,3.675,0.09028445953075656
70.0,47.5,3.7,0.07317054247333307
70.0,47.5,3.725,0.054704221152820476
70.0,47.5,3.75,0.0345975543184854
70.0,47.5,3.775,0.012490074198052594
70.0,47.5,3.8,-0.012076140287728469
70.0,50.0,2.4,-0.3026669042948191
70.0,50.0,2.425,-0.3859681997337694
70.0,50.0,2.45,-0.4941384696198697
70.0,50.0,2.475,-0.6408142996387929
70.0,50.0,2.5,-0.8512630279270997
70.0,50.0,2.525,-1.1766075309156365
70.0,50.0,2.55,-1.7269117561238063
70.0,50.0,2.575,-2.6258427034082654
70.0,50.0,2.6,-0.6521710815289247
70.0,50.0,2.625,3.043836968543806
70.0,50.0,2.65,2.266244538378296
70.0,50.0,2.675,1.6885469254267238
70.0,50.0,2.7,1.3455676197641369
70.0,50.0,2.725,1.1253401233587115
70.0,50.0,2.75,0.9729542149840366
70.0,50.0,2.775,0.8612500743007158
70.0,50.0,2.8,0.7756573377584308
70.0,50.0,2.825,0.7077506750029502
70.0,50.0,2.85,0.6523468821249351
70.0,50.0,2.875,0.6060928366077935
70.0,50.0,2.9,0.5667301654538418
70.0,50.0,2.925,0.5326911967229362
70.0,50.0,2.95,0.5028668073068601
70.0,50.0,2.975,0.47645590610949573
70.0,50.0,3.0,0.4528313214426838
70.0,50.0,3.025,0.431438301030705
70.0,50.0,3.05,0.411814978683376
70.0,50.0,3.075,0.3936377267999518
70.0,50.0,3.1,0.3766779320108401
70.0,50.0,3.125,0.36075693958217414
70.0,50.0,3.15,0.3457209009393226
70.0,50.0,3.175,0.3314352879435742
70.0,50.0,3.2,0.31778207523281915
70.0,50.0,3.225,0.304657221434803
70.0,50.0,3.25,0.2919682061453186
70.0,50.0,3.275,0.27963174907613253
70.0,50.0,3.3,0.2675717738131915
70.0,50.0,3.325,0.2557176070034206
70.0,50.0,3.35,0.24400236945971662
70.0,50.0,3.375,0.23236150405499792
70.0,50.0,3.4,0.22073138298243147
70.0,50.0,3.425,0.2090479368213167
70.0,50.0,3.45,0.19724524639875893
70.0,50.0,3.475,0.1852540338472892
70.0,50.0,3.5,0.17299998018978127
70.0,50.0,3.525,0.16040178175332684
70.0,50.0,3.55,0.14736883464752004
70.0,50.0,3.575,0.13379840231331666
70.0,50.0,3.6,0.11957207094887595
70.0,50.0,3.625,0.10455122400909525
70.0,50.0,3.65,0.08857115834721586
70.0,50.0,3.675,0.07143330266297909
70.0,50.0,3.7,0.05289475467710283
